author,Teks_bersih
@mabuksaham-willyamwen7774,laporan keuangan q  lainnya  east eastparc hotel   dooh era media sejahtera   pjaa pembangunan jaya ancol   bbca bank central asia   ipcc indonesia kendaraan terminal   btps bank btpn syariah   bbri bank rakyat indonesia   bnga bank cimb niaga   bjbr bank pembangunan daerah jawa barat dan banten   tpma trans power marine   sgro sampoerna agro   cnma nusantara sejahtera jaya   bmbl lavender bina cendikia   ptba bukit asam
@xcie69,jhon bahas emiten smkm sama lsip jhon
@dosibonbon,saya sudah pegang ptba lamamsih avg 
@adiputrapangestu5920,ga banyak lot nya gpp 
@dahamadiun1371,aman bang amanda
@ziletmuse5318,bahas mmix donk hehe
@jemmykosasih5467,ini presentasi direksi ptba john
@RiqikArdiansyah-gd9vo,semoga dpr nya besar  kata pak mentri harus gede 
@sugenglestari3749,mending mana ptba vs adro bro
@sugenglestari3749,gue baru sebulan ini beli saham yahh baru  jt an maaih coba gue pilih peruashaan besar yg sdh punya nama lalu tidur nelum pernah gue jual naik turun gue cuekin 
@i4mchristi4n,tx jon baru masuk di  dy  
@yuliaerfendi4672,mulai serok ptba mulai bln ini
@amuharki,jadi serok bln nov atau nunggu jan  feb jhon
@asfarrudin3172,udah minus  bang ttep santay bang tutup mata
@acilbutetshow,per hari ini  november  saya mines   awalnya niat dividen tahun kemaren eh kebablasan  tapi akhirnya belajar dan belajar terus  dan karena terpaksa akhirnya terbiasa dan mulai nyicil dan jadi jangka panjang 
@tegarzakyprasetyo8081,berapa lot nih
@desifatmanurtini6886,brp lot bg
@indrajaya6120,tim hold hadir boss
@ipungsaefulloh3496,ko wil sah gk sih kalo ambil pinjaman ke bank trs masukin ke emiten dengan dividen gede
@mabuksaham-willyamwen7774,klo pake duid panas biasanya kagak hoki mas hehe mending jangan hehe
@ipungsaefulloh3496,willyamwen saham pegangan yang bagi dividen lagi pada diskon ingin rasanya nyerok banyak wkwk
@fadjarkusmanto719,jgn terlalu mabuk bang 
@ipungsaefulloh3496,gemes banget bang liat diskonan begitu tapi apa daya diemin aja 
@desifatmanurtini6886,lagi bang gua udh punya  lot di avg  nunggu down trend paling bawah
@bennytaruna8019,gak ada duit modal gw nyangkut di gems
@akhmadididi952,bahas saham totl bang laporan keuangan q naik
@nurliysiringoringo8913,harga ptba aku di  bang berarti hold aja ya bang menurut analisa abang hari ini thanks bang
@pdkudamas,hold tahan sampai bagi dividend biasa naik
@desifatmanurtini6886,semangat bang di hold aja sambil abg down gua baru mulai  lot di avg 
@aldyawliya3616,thanks koh
@ROMIPRADANA,bro willyam wen semangat terus memberikan pemahaman tentang investasi semoga semakin sukses dan dilimpahin peruntungan sepanjang tahun dan semakin hoki
@elsyafahrizarisky5072,thank you koh wil 
@Ngobrolsaham,selamat pagi jhon  tlg kasi kita konten semangat buat kita deviden investing yang masih hold saham batubara sampai saat ini jhon untuk terus yakin hold 
@Syariah-zc5nj,suka banget dengar penjelasan nya om
@chonganchang4907,lumayan kamsia bro wen 
@user-zw4rf9hb2f,anjay harga saham langsung turun drastis
@suhendra2606,udah ada muatan  lot avrg masih di 
@Sigalinggingheri,bmri sdh keluar q bro will    mantap    
@kia-tc8us,tolong bahas wiim naik karna di goreng atau karna fundamental koh wil laporan q wiim sudah keluar
@drayla7013,sdh mulai nyicil ptba diharga  all in 
@TuraDoke-fb1ho,bahas powr bro lapkeu udh keluar laba naik 
@almas4764,bsde bang
@eddyhariyanto4246,q hexa sudah keluar tolong di bahas kak
@black-hole78,bang bahas sektor saham yang ada pengaruhnya ketika pemilu dong bang
@tedysuryanto579,ko will tolong bahas kalau mau invest di coal bagus dimana ptba itmg bssr indy tks ko
@trukmobilvideobis,bang gjtl gimana nih sudah cuan enaknya di jual apa di hold tolong di buatkan contenya  ane sudah subscribe thankss
@degaes,disaat orng takut sma goto disitu saya all in
@Kk-nl6mx,kamu keren
@degaes,nlmx see
@terizanorymada8738,baru nyerok  eh turun lagi  wait and see  nyerok lagi
@riekanich,bahas q antm donkk
@puputyustanto6218,lagi ambruk  ptba gass serok
@iwayanardiana8975,jhon gue ngg ada duet jhooonn mau serok 
@ekosumargono2962,bahas ggrm donk koh wensada anomalinet income naik bagusharga dibanting
@Garry-Stewart,beli ptba di  sekarang lagi loss tapi pengen lebih turun lagi biar bisa nambah
@riskisahputra4432,hr ini kita avg dian bro will
@itz_heyletsgo421,ptba  saat ini 
@adib_logika,ngantri di  udh match wkwk
@annassinagabfc4729,kkgi bang
@tommyajahputra,kkgi pssi turun q
@TopGlobalLegends,john bahas pssi johnpada panik q anjlok wkwkwkw
@soeboer_makmoer_farm,eps q cuma  gimna ini jhin 
@dadanroyoni7914,mantap bang wil semoga saja casj tersedia buat nyerok ptba
@amrizalkidsboy,tengss koh wil
@utamikaryanti2274,nunggu q bssr harga nya masih di jagain di  an
@oliviasafitri4400,ntn video lain katany tiap akhir th saham harga batu bara bakal naik jadi yang bener mana nih akhir th naik apa turun kecenderungannya
@lamhotsupanto9667,baru nambah muagan di bri saham adro dan ptba awal taun aja beli nya 
@ellysusia2800,jika menabung sampai  miliar kemudian dividen   yang artinya  juta pertahun sudah lebih dari cukup jon buat hidup semangat jon gaji umr nabung ptba
@Nurazmicha,saya jadi ikut semangat
@RatnawatiRatnawati-id6bj,mau mau mau
@sujikenyekkenyek5456,bhas kkgi jhonq seupil
@oldchef2839,thanks a lot john insightnya
@nunung456,selalu ada ketenangan dan optimis ketika menyimak podcast ko williem terimakasih ko williem semoga selalu sehat wal afiat diberikan rizki yg luas dan keluarga yg bahagia sejahtera aamiin yaa robbal alaamiin 
@alifiblodot4537,bahan itmg dong bangsaham kesayangan
@sandraoktaviana9828,belum keluar q nya saya juga lg nunggu
@RiskyTrapYT,mau tanya koh will knp hrg batubara anjlok pas desember bukannya disebagian negara justru musim dingin permintaan lbh banyak ya kira mendekati pemilu dividen makin kecil atau justru malah besar ya
@ibnubajaw1853,logikanya pas saat musim dingin tuh perusahaan uda pd stok bln sblmnya jd hbs desember malah banyak perusahaan dah ga nyetok atau butuhnya sedikit
@RiskyTrapYT,ohh begitu betul jg
@bangcacing6032,tins bg
@buzzlightyear2150,rencnaa mau hold thn gmn bang
@sularsobachtiar5318,mas willy minta tolong bahas bjtm ya mas makasih
@itz_heyletsgo421,jakarta cnbc indonesia presiden joko widodo jokowi memerintahkan agar pada tahun ini setidaknya ada satu pembangkit listrik tenaga uap pltu batu bara yang bisa dipastikan untuk dilakukan pensiun dini
@anchannel2641,bang bahas adam levine yg mau bundir gara loss banyak di saham
@irfanbeema3725,semoga turun ke  aaagua mau serok nih saham
@dddboxing6410,bang will untr donk
@yusufabadi5817,bahas saham kesayangan gw bang adro
@user-ro3zl1kg6r,bg bahas apa itu rata tertimbang soalnya untuk mencari eps dan dps tidak menggunakan lembar saham melainkan rata tertimbang mohon dijelaskan bg
@permanahyiamaan916,sido mau bagi dev interm ko malah turun  y 
@fitriadiansyah6205,qnya turun makanya roboh
@suaraaku,bang minta tolong bahas hill
@pedrieklewi6361,request kkgi jhon
@lutfifitriah8815,hari ini baru masuk  lot ptba di  mudahan masih trn buat cicil
@hendrylee2581,semoga turun gocap baru cicil
@lutfifitriah8815,klo gocap bangkrut dong
@rezasaefullah9681,coba
@cahyohandoyo3137,hari ini turun  semoga besok turun jadi 
@user-yp9ss5dl6k,
@nuryarifin8585,malesnya tuh gini klu ptba meskipun royal bagi deviden ko wil pembagian dy nya sethn sekali jd pasti bantingannya dlm bangt hahha mending bssr  mcol gems tau itmg
@handaru9936,masih hold avg kadang berontak juga sihtp ya sudah lah
@itz_heyletsgo421,avg down aja
@desifatmanurtini6886,sabar bang avg down aja yg terpenting jumlah sahamnya tetap
@Ngobrolsaham,untuk avd di harga  x  lot brp agar bisa jadi rata rata di  nya ya jhon will 
@VirtualVoyager0406,makasi bang
@user-ih4rr8jb3f,makasih bang ilmunya saya masih pemula dalam pasar modalportovolio masih merah
@donbhosup27,sama ommerah gak pp jgn dinliatin fokus aja nambah lot sama saham yg di rasa yakin profit sisane mau merah item ijoterserah
@yahya8948,bang bahas hrum donk thanks
@adiputrapangestu5920,kenapa sekitar bulan desember harga batu bara roboh
@chickenforest3042,
@asepigun,ptba semoga jadi rejekiku
@sucilestari470,semoga dev minim 
@jambujaya2131,ini nih q ptba yg kita tunggu
@amabrian1632,kalau ikuti chanelnya koh wil selalu menenangkan mau floating los floating profit tidak efek selain perbanyak lot demi cuan rupiah ngalir ke rdn saham blue chip enaknya semakin roboh semakin menggairahkan serok habis tinggal tidur
@ThePietzpanca,portofolio ptba merah ga usah kuatir ya bang tetep serok lagi kah
@soundtubefree8075,terimakasih koh will pbsa bagi lagi dividen rp yield  
@kelfincr31,bang bahas kkgi bang
@kanalsenisederhana,yg tdk pernah lelah menyuarakan pentingnya dividen di bursa saham semoga rejeki ko wil selalu lancar dan berkah ya
@fadilardiansyah1225,kkgi anjlok bgt bang q nya
@hendrosuprayitno9614,bang tolong diinfo bagusan mana adro dan pt ba
@jambujaya2131,ptba aja boss
@rosalynmagdalena3791,aku punya duanya
@rezasaefullah9681,masuk dua duanya
@Firda2010,sama aja bedanya dividen adro x setahun ptba x setahun
@ExGamer-f41z41,dividen ptba selalu  jon
@harihandikasetiawan8586,saham andalan ku
@ferripradana4265,merah banget koh  wkwkwk
@mukmin44,kalo sampai roboh ke  kan artinya bwanyakk banget yang jualan kira apa alasan mereka pada jualan
@nanihonipa,biasanya fomo atau takut sama fear yg di tebar
@mutiaa.r9803,coal merah merona serok nanggung nanggung gara fomo
@satria2177, masih aman ga puh sepuh heheh
@SarahVirtyTami-uh2mw,semoga terjun 
@jordanmartino8719,jon q adro jangan lupa
@kiyahbrebes1666,bener mase kalau nyangkut di emin aja hepiii debiden 
@deesdiary2689,kak tlg bahas tins akpi smdr n ssms dong
@trukmobilvideobis,cocok smdr ane juga bertanya tanya lagi nyerok dikit dikit smdr pbv nya kecil
@hokinoob,adro  ptba the best
@jambujaya2131,ptba best of de best
@abeelinot,kami avarsge 
@mandalaputra9646,tolong bahas maha bang
@nawwafyusuf,perusahan yg bagi dividen tetap bagi dividen jdi tenang aja guys
@arissaeroji1923,bahas bssr jon terimakasih
@ridwankurniadi28,habis bagi dividen aja serok ptba pasti roboh 
@fitriadiansyah6205,gak saampe ex date kmrn aja  enak serok sekarang nanti dapet deviden buat tambah muatan
@ridwankurniadi28,tahun kemarin kan labanya tinggi tahun ini ga gede tahun lalu jd hrga nya jg makin murah
@adimfauzul,bang will saya mau tanya  bang will kan biasanya kasih harga wajar eps kali  kalau harga makin turun dr level yg telah di tentukan apakah bang will akan cutloss  bang will cut loss disaat situasi dan valuasi bagaimana bang will cutloss tsb tolong buatkan video nya bang  banyak
@ignasiusadinugroho6302,kok cl yg ada serok lah kl harga diskon kaya gitu apalagi ptba dgn harga segini bisa ngasih 
@SarahVirtyTami-uh2mw,karena bakalan ke 
@sucilestari470,saham ny turun yg penting kan perushaaan ttep jualan batubara ny  devident ttep di kasih
@mrtrololo4252,selagi pln masih monopoli kelistrikan nasional selama itu juga safety utk stay di ptba akan terjaga prioritaskan dividen capital gain anggap sebagai bonus hold keras jhon
@rahmatbudiarto3401,lumayan tadi jam akhir sempat serok di harga 
@SarahVirtyTami-uh2mw,turun lagi tu
@rahmatbudiarto3401,uhmw iya klo turun lagi serok lagi mumpung baru gajian setting aj auto beli di harga terendah
@nrwardah5843,ge mana cara setting nya mas
@Ferdiantt25,gw yg nyangkut di 
@ilfardonuta6217, msih tenang 
@arenansyah2277,sabar saya di  belum avg down tnggi momentum dan dana 
@BasBay, nyimak 
@khalidujungbatu4920,bang bahas adro juga
@darmaputragusti9252,lagi crash
@arifyoga4518, gede coy
@widinurwicaksana7121,tlkm dong ko will
@nabilahumairanazra,laporan keuangan saham maha dong ko
@korneliussuhendra1511,aku masih wait n see nunggu turun lagi
@b.p.6763,sabar emiten batu bara masih akan turun lagi
@Dramatisku,masih hold avg
@andrianyahandri9477,saya di 
@heroemuiman800,hold long term dividen investing
@Mankdolz,average down bang
@ilfardonuta6217, sebelumnya  
@zain14245,avg 
@riderpride9248,turun ya serok kpan lgi john turun ntar kl uda naik ya udah diversifikasi lainnya
@wahyuaari3440,msh pantau ptba
@BasBay,makasih ko wilsiap serok kalo ginikalo bisa robohin dah ke  gue jual bri gue gue all in ptba 
@Mankdolz,sama 
@sucilestari470,mantaapppp
@juridislev581,keren
@BasBay,wkwkkw 
@pirwansamsung907,beli gorengan aja gurih
@edwinfajar7057,ditunggu di 
@yusupsupyan6331,bahas adro ko
@masbayu9601,kamis serok bbri di  hari ini serok adro di  ptba  semoga sebulan kedepan bisa turun lagi biar bisa nambahin muatan
@tjoevandie,doamu dikabulkan hari ini 
@masbayu9601,tadi bisa nambahin muatan tapi ngga banyak amunisi tipis
@tjoevandie,aku juga masuk di harga 
@luluthardiyani9724,hari senin ini x beli ptba di harga    dpt  lot eeh tnya closing turun lg di  kirain udh mentok di harga terendahx hehehe
@Mankdolz,wa  lot 
@user-jh9sc7lw9d,belinya cicil kak jangan langsung all in hehe mantep bener  lot
@luluthardiyani9724,iya kak untung cicil blm all in nyesek pastix klu all in hehe selain ptba kmrn jg dpt itmg  bssr cuma bssr yg msh ijo semoga bertahan 
@user-jh9sc7lw9d,roboh dulu aja dong kak ehe biar saya bisa masuk nunggu itmg  ribuan nih
@donbhosup27,saya masuk di untr jga lansgung merah semuawkwkwk
@fungky711,mntapp
@grg4a765,jhon kok cepet amat dapet update an lapkeu caranya gimana jhon biar g ketingalan kan g mungkin kita cek satu per emiten
@El-rb9yy,akhirnya bahas ptba lagi gua ngantri di  
@heroemuiman800,waduhh
@Mankdolz,gokil 
@pelangi_hitam,berat kali
@hendrylee2581,turun gocap baru cicil
@pelangi_hitam,waduhh
@Sigalinggingheri,pening dng roboh nya    apa terjun spt history bumi
@pdkudamas,beda lah dengan bumi kalau bumi pengendalinya aduh
@Sigalinggingheri,iya dengan business plan nya ptba akan growth instead of batubara akan jadi kenyataan
@pdkudamas,iya bumi jg ga pernah bagi dividend walaupun perusahaan laba jd cuma berharap capital gain
@JHVR1810,kalo bumi pengendalinya nia ramadhani
@pdkudamas,nah
@paulusharmoko6101,good job will
@ellysusia2800,terimakasih jon saham andalan saya jon
@afdulgapur4725,hadirrr
@fiqridihar437,termikasih ganteng 
@papahkiki8155,waduh ga ada cash lagi
@edwinfajar7057,siap siap ke 
@nirzanurfitriano4515,mantap ptba roboh bro  semoga besok masih turun mumpung gajian bisa nambah muatan dikit
@heroemuiman800,tungguin bang
@jambujaya2131,serok yg buanyak bosss
@jatmikokurniawan1103,bahas tapg bang
@jembak06..,nyimak
@farelsaputra1377,bang sido bang
@iradatimanamanda9087,setujuu
@muhammadarif5998,pertama jon waktunya serok ptba
@rudiwahyudi9244,mantul free yourk  pertamx 
@soundtubefree8075,mantul free yourk 
@Mankdolz,hadir
@jhonpolmanpurba7625,masih hold ptba bang
@ThePietzpanca,kalo porto ptba merah nyangkut di  tetep hold bang
@mukhammadsuharis782,terimakasih bang langsung dibahas 
@kamalayaofficial8942,pertama
